status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1021581417961885_1109173662535993,吹啊～吹啊～阿嬤驕傲放縱 #狂阿編,我抱著必死的心....送你們見上帝｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1109173662535993,2016-11-24 19:38:21,0,0,0,0,0,0,0,0,0
1021581417961885_1107972235989469,"平偉 4 ni?#狂阿編
#是在大聲什麼啦 #新成語無所無為

[活動]爆料投稿搶i7 http://goo.gl/Kr4VjS",雄中硬派學生94狂｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1107972235989469,2016-11-23 15:19:29,0,0,0,0,0,0,0,0,0
1021581417961885_1107302912723068,頭搖又尾擺 #狂阿編,卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1107302912723068,2016-11-22 22:29:34,642,16,8,546,3,29,55,0,9
1021581417961885_1107091669410859,"別說都沒提醒你 iPhone 7活動已經開始囉
【登入 > 爆料投稿 > i7帶回家】 https://goo.gl/5MzPMq
#狂新聞講誠信的 #錯過再等一百年 #分享活動連結還有加碼獎
#狂阿編",[活動]爆料投稿搶i7(狂小編含淚釋出),link,https://www.facebook.com/1021581417961885/posts/1107091669410859,2016-11-22 17:30:01,419,17,3,392,2,6,18,0,1
1021581417961885_1107082446078448,5分鐘後世界上又少了一個男人。,media.giphy.com,link,https://www.facebook.com/1021581417961885/posts/1107082446078448,2016-11-22 16:40:49,8501,348,294,6506,8,122,1845,7,13
1021581417961885_1107081346078558,"如果能找到林董，小編將送上神秘禮物！

#太狂了",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1107081346078558,2016-11-22 16:38:57,8816,250,388,6927,21,125,1736,7,0
1021581417961885_1106188196167873,"燒毀！ #狂阿編

[活動]爆料投稿搶iPhone 7 http://goo.gl/Kr4VjS",比扯鈴還扯？ 綠委劉世芳稱「扯鈴」是中國文化 喊要刪僑委會預算 | 快點TV｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1106188196167873,2016-11-21 19:09:27,0,0,0,0,0,0,0,0,0
1021581417961885_1105159036270789,"【1120】卡提諾狂新聞 #040
　
先分享好嗎
　
※ 本週地圖砲，狂小編誠徵律師團
※ 40集可能就第一季完結惹
※ 問世堅情為何物
※ 送IPHONE7 活動開跑錯過在等100年
※ 卡提諾狂新聞溫哥華報導
※ FB大神不要下架我好嗎
　
按讚加入卡提諾狂新聞粉絲團 ！搶先收到第一手狂訊
https://www.facebook.com/crazyck101/ 
　 
[活動] 爆料投稿搶iPhone 7 https://goo.gl/X7gLyu
卡提諾狂新聞網站 https://goo.gl/VXz5v2
卡提諾狂新聞1～40全集 https://goo.gl/2PEChU
卡提諾狂新聞Youtube https://goo.gl/2edkKf
#卡提諾狂新聞 #94狂",【1120】卡提諾狂新聞 #040,video,https://www.facebook.com/1021581417961885/posts/1105159036270789,2016-11-20 15:34:19,65195,3751,12925,55069,701,147,9239,14,25
1021581417961885_1105086952944664,87分鐘後出刊，謝謝大家,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1105086952944664,2016-11-20 13:15:15,15911,462,52,13182,62,109,1596,22,940
1021581417961885_1104310756355617,"突然殺出一名強力競爭者，小編必須拖稿啊...

圖片來源：李努",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1104310756355617,2016-11-19 16:17:57,19922,688,675,15784,77,232,3745,11,73
1021581417961885_1104105239709502,"也就是說本週無法順利休刊。

( 但拖稿傳統還是得延續 )",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1104105239709502,2016-11-19 09:55:24,18463,737,41,14759,61,146,1727,98,1672
1021581417961885_1103545179765508,"小時不讀書...
#狂阿編",綠委提案「特休一年前就要排好 ｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1103545179765508,2016-11-18 20:38:40,1,0,0,1,0,0,0,0,0
1021581417961885_1103476089772417,"【登入 > 爆料投稿 > i7帶回家】 https://goo.gl/Kr4VjS
　
想要iPhone 7嗎？想要的話可以全部給你，去找吧！我把所有的iPhone 7都放在那裡！ 👉👉👉
　
活動獎品：iPhone 7 plus 128GB
分享達標特別加碼：犀牛盾防摔殼、藍芽耳機
活動詳情：https://goo.gl/Kr4VjS",[活動]爆料投稿搶i7(狂小編含淚釋出),link,https://www.facebook.com/1021581417961885/posts/1103476089772417,2016-11-18 18:59:31,1351,71,26,1240,6,22,79,0,4
1021581417961885_1102720936514599,,40萬粉絲達成,link,https://www.facebook.com/1021581417961885/posts/1102720936514599,2016-11-17 22:26:00,12822,184,4,12323,47,159,272,5,16
1021581417961885_1102602686526424,"這不是豬隊友，這是豬隊長... #狂阿編
#本是同根生相煎何太急",祭止兀大砲開轟｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1102602686526424,2016-11-17 19:33:20,0,0,0,0,0,0,0,0,0
1021581417961885_1102539116532781,這樣太危險 #狂阿編,三隻三寶一次倒，台灣三寶9487｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1102539116532781,2016-11-17 17:48:10,0,0,0,0,0,0,0,0,0
1021581417961885_1102538803199479,"此樓開放王世堅議員圖片接力
我已經開始期待留言惹。

( 順便偷素材 ) ~",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1102538803199479,2016-11-17 17:48:01,7583,314,58,6506,15,39,1015,3,5
