id,create_time,name,message,type,link,comments,reactions,shares
232633627068_10155619723552069,2017-02-21 07:50:00,【獨家身世片】小甜甜買2千萬房藏孤兒怨　大白鯊霸凌終身恐水,"曾極度痛恨爸媽的她，並不是因為自己受委曲，而是對爺爺奶奶的不捨，「爺爺奶奶從沒休息過，也沒享受到人生，一直到他們往生前都很辛苦」
　　
完整 #動新聞【獨家身世片】小甜甜買2千萬房藏孤兒怨　大白鯊霸凌終身恐水
http://ent.appledaily.com.tw/actionnews/index/20170220/1059722/0
　
#相關新聞【回首片】小甜甜被「神經病」合約綁死！對張峰奇說這5句話
http://www.appledaily.com.tw/realtimenews/article/entertainment/20170220/1059840/
　
#小甜甜 #蘋果獨家 #隔代教養 小甜甜 張可昀",video,https://www.facebook.com/appledaily.tw/videos/10155619723552069/,207,24374,246.0
232633627068_10155619847677069,2017-02-21 07:40:00,美國人好感度國家排名　台灣No.7北韓吊車尾,"喔喔，有進前十名唷！！#天編
　
#美國人 #排名 #好感度 #蓋洛普 #Gallup #rating #民調 #最新
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/international/20170221/1060977,66,834,16.0
232633627068_10155619558432069,2017-02-21 07:30:00,【七搶一動畫】大家都想選黨主席　第七人浮出檯面,"贏家只能有一個，各位亮劍吧！ #請分享
　　
完整 #動新聞【七搶一動畫】大家都想選黨主席　第七人浮出檯面
http://www.appledaily.com.tw/actionnews/appledaily/5/20170221/1060584/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/politics/20170221/1060584/
　
#浪費才能 #超有事動新聞 #不能只有我看到 #國民黨 #KMT #蘋果動畫 #潘維剛 #葉匡時 #郝龍斌 #洪秀柱 郝龍斌 洪秀柱",video,https://www.facebook.com/appledaily.tw/videos/10155619558432069/,22,384,2.0
232633627068_10155619744212069,2017-02-21 07:20:00,退伍軍人爭權益　「不能把我們當免洗筷子」,"六百多名退伍軍人的憤怒
 　
【火線話題】年金改革爭議
https://goo.gl/diyVsI
　
#年金改革 #國民年金 #18趴 #國防部 #退伍軍人 #抗議 #八百壯士捍衛權益
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170221/1060855/,589,2691,128.0
232633627068_10155619795502069,2017-02-21 07:14:50,郵差蹲地路邊吃便當　原因超悲催！,"郵差辛苦了 😭 #天編
　
#郵差 #爆廢公社 爆廢公社 #用餐
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060918,1120,54466,3876.0
232633627068_10155619747602069,2017-02-21 07:00:00,蘋果下月推新品？　紅色愛瘋、10.5吋iPad傳亮相,"粉粉喜歡紅色嗎？#天編
　
#apple #iPhone #iPad #新產品 #蘋果 Apple
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/finance/20170221/1060925/,212,8523,734.0
232633627068_10155619338532069,2017-02-21 06:50:00,【哭哭】誤信小三　中醫師偷情不戴套下場好慘,"""今天安全期""的可信度就跟""媽媽幫你把紅包存起來""一樣高， 真是好傻好天真 #鄉編
　　
完整 #動新聞【哭哭】誤信小三　中醫師偷情不戴套下場好慘
http://www.appledaily.com.tw/actionnews/appledaily/5/20170221/1060462/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170221/1060462/
　
#外遇 #小三 #安全期 #詐騙 #蘋果動畫",video,https://www.facebook.com/appledaily.tw/videos/10155619338532069/,66,1676,28.0
232633627068_10155619735127069,2017-02-21 06:40:25,高中生打靶成績優秀　可獲國軍狙擊手親自教授,"如果射擊成績優秀，還可以參加射擊競賽 #最新
　
#高中職 #打靶 #國防部 #國軍 #步槍射擊
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170221/1060783/,260,4449,326.0
232633627068_10155619205622069,2017-02-21 06:30:00,蘋果娛樂新聞,"#宅編 之前載女大生時說""我們這樣好像追夢人喔""，結果妹子一臉黑人問號臉orz #鄉編

【完整影片請點我】→ 海倫清桃夾奶壓胸肌男　離婚34天勾郎回家
https://goo.gl/88b2vF
　　
更多 #八卦 #狗仔  #動新聞 請鎖定 蘋果娛樂新聞",video,https://www.facebook.com/AppleEnews/videos/1395428947187414/,18,254,
232633627068_10155619594317069,2017-02-21 06:20:00,星巴克漲價　網友諷「Mac文青」害的！,"去星巴克買咖啡，真的看到很多MAC... #天編
　
#星巴克 Starbucks #漲價 #PTT 批踢踢實業坊(Ptt.cc)
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060851,166,2565,106.0
232633627068_10155619605277069,2017-02-21 06:10:00,退將「埋鍋造飯」反年改　王定宇：亂三小朋友,"好直接喔 XDD #天編
　
【年金改革】退將號召800壯士立院前埋鍋　「不能把我們當免洗筷」
http://www.appledaily.com.tw/realtimenews/article/politics/20170221/1060855
　
【火線話題】年金改革爭議
https://goo.gl/diyVsI
　
#年金改革 #國民年金 #18趴 #國防部 #退伍軍人 #抗議 王定宇
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170221/1060725,66,191,6.0
232633627068_10155619669937069,2017-02-21 06:03:03,蘋果娛樂新聞,"【直播結束】 來來 #網紅T妹 泡湯了唷 快來看 #直播！！
　
Tiffany Chen T妹 粉絲團 #T妹 #泡湯",video,https://www.facebook.com/AppleEnews/videos/1395587500504892/,152,826,
232633627068_10155619622737069,2017-02-21 06:00:02,浩子暫拆夥猛line旅遊照　阿翔「已讀不回」想退出,"群組狂PO圖是有點擾民啦～#天編
　
浩角翔起笑一個 官方粉絲專頁 #浩子 #阿翔
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170221/1060863,9,328,2.0
232633627068_10155619316592069,2017-02-21 05:50:00,【鬧劇片】前天王嫂被諷是小三　大19歲遊艇土豪為她抛髮妻,"離婚後情史一樣精彩 #鄉編
　　
完整 #動新聞【鬧劇片】前天王嫂被諷是小三　大19歲遊艇土豪為她抛髮妻
http://ent.appledaily.com.tw/actionnews/index/20170220/1059932/0
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170220/1059932/
　
#樂基兒 #黎明 #土豪 #小三 #爆料 #IG",video,https://www.facebook.com/appledaily.tw/videos/10155619316592069/,12,499,7.0
232633627068_10155619627177069,2017-02-21 05:40:46,2女大生工時太長離職　竟遭名店求償59萬,"每天7點前到班，晚上9點閉店後才能下班...#最新 
　
#實習 #離職 #勞資糾紛
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060795/,1258,17301,1648.0
232633627068_10155619510697069,2017-02-21 05:30:00,【獨家】活火山新證據！學者首度證實大屯山下藏大量岩漿庫,"台北的房價要降了嗎？？(✪ω✪) #鄉編
　　
完整 #動新聞【獨家】活火山新證據！學者首度證實大屯山下藏大量岩漿庫
http://www.appledaily.com.tw/actionnews/appledaily/5/20170220/1060481/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/life/20170220/1060481/
　
#活火山 #火山 #大屯山 #陽明山 #蘋果獨家",video,https://www.facebook.com/appledaily.tw/videos/10155619510697069/,60,671,64.0
232633627068_10155619609152069,2017-02-21 05:21:29,【獨家】 只花18分鐘！美女主播竹幼婷香港速產子,"恭喜唷！！👏 👏 #獨家
　
#竹幼婷 #香港
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170221/1060877/,7,434,6.0
232633627068_10155619155127069,2017-02-21 05:10:01,北韓出手狠招　「死者不是金正男」,"不管你信不信，反正我是信了 #鄉編
　
【安置金正男遺體醫院　30特戰隊員戒護】
http://www.appledaily.com.tw/realtimenews/article/international/20170221/1060743/
　
#蘋果國際 #國際新聞 #北韓 #北朝鮮 #NorthKorea #金正男 #김정남 #KimJongNam #暗殺 #馬來西亞 　
🐶如何第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/international/20170221/1060678/,50,983,20.0
232633627068_10155619558032069,2017-02-21 05:00:02,每天和17歲生做愛　美女師爽半年判90天,"放開那男孩！有本事就衝著我來 #路編
　
#國際新聞 #蘋果國際",link,http://www.appledaily.com.tw/realtimenews/article/international/20170221/1060820/,201,8615,311.0
232633627068_10155619461422069,2017-02-21 04:50:00,漲翻天！星巴克那堤將漲16％　竟比日本貴1成,"越貴越潮，懂？ #鄉編
　　
【完整 #動新聞】漲翻天！星巴克那堤將漲16％　竟比日本貴1成
http://www.appledaily.com.tw/actionnews/appledaily/5/20170220/1060124/
　
#最新【星巴克最高漲16%　憑什麼？業者說話了】
http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060649/
　
#星巴克 #starbucks #漲價 Starbucks",video,https://www.facebook.com/appledaily.tw/videos/10155619461422069/,77,554,24.0
232633627068_10155619543312069,2017-02-21 04:37:13,【懺情片】背小三汙名多年！ 關之琳首回應「我没有主動就行了」,"「我男朋友有錢或是比較成功，就等於是我貪他錢嗎？難道不可以是他貪我的名氣？」姐就是霸氣！
　
#關之琳 #內有影片 
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170221/1060686/,22,960,10.0
232633627068_10155619412957069,2017-02-21 04:30:00,【影片曝光】網拍糾紛幫贊聲　少年遭毆碎頭骨將器捐,"唉... #慎入
　　
完整 #動新聞【影片曝光】網拍糾紛幫贊聲　少年遭毆碎頭骨將器捐
http://www.appledaily.com.tw/actionnews/appledaily/5/20170220/1060174/
　
【圖文報導】
http://www.appledaily.com.tw/realtimenews/article/local/20170220/1060174/
　
#台中 #圍毆 #器捐 #網拍糾紛",video,https://www.facebook.com/appledaily.tw/videos/10155619412957069/,516,6553,209.0
232633627068_10155619521397069,2017-02-21 04:21:49,4高中生躲普悠瑪廁所逃票　台鐵說要抓人追罰,"孩子的教育不能等
　
#普悠瑪 #逃票 #台鐵 #948794狂 #基隆高中
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/local/20170221/1060695/,227,5450,196.0
232633627068_10155619507932069,2017-02-21 04:13:13,【33死】阿里山、武陵農場、清境農場等一日遊　均需下架,"違規者將罰1萬到5萬元 #最新
　
【他轟這件事若不做！「雙駕駛只是多死一個」】
http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060806/
　
【#火線話題】賞櫻團翻車意外釀33死 
https://goo.gl/QzbajL
　
#國道 #遊覽車 #翻車 #交通部 #蝶戀花 #蝶戀花旅行社 #一日遊 #司機 #過勞",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060810/,175,1660,94.0
232633627068_10155611208812069,2017-02-21 04:00:01,,"[#特約轉播]
甲租乙還、乙租丙還、丙租丁還、丁租戊還…(有完沒完)
iRent自助租車真的好用到你還要還要的~",video,https://www.facebook.com/appledaily.tw/videos/10155611208812069/,78,1926,102.0
